Periodos,Consumo
2014/02,91.56872754
2014/03,91.93028056
2014/04,92.83972345
2014/05,92.62070224
2014/06,92.71236999
2014/07,93.01911089
2014/08,92.73718672
2014/09,92.79804594
2014/10,93.15321255
2014/11,93.73240187
2014/12,93.49833244
2015/01,93.85870287
2015/02,93.96573659
2015/03,94.13355462
2015/04,94.38795387
2015/05,94.70966861
2015/06,94.82071421
2015/07,95.01286054
2015/08,95.50561978
2015/09,96.29100148
2015/10,96.61869101
2015/11,96.47570503
2015/12,95.78447557
2016/01,97.00519118
2016/02,96.25840061
2016/03,96.43758469
2016/04,95.89163419
2016/05,96.10030512
2016/06,96.60176902
2016/07,96.75350089
2016/08,96.91384663
2016/09,97.06239351
2016/10,97.26062949
2016/11,97.1191785
2016/12,98.95984465
2017/01,97.72430755
2017/02,98.45957387
2017/03,98.33604207
2017/04,98.56888694
2017/05,98.40373508
2017/06,98.59864514
2017/07,98.39635957
2017/08,100.3342931
2017/09,98.24319965
2017/10,99.12939393
2017/11,99.07685628
2017/12,99.42566891
2018/01,99.67914137
2018/02,99.90281591
2018/03,100.1702384
2018/04,99.8354165
2018/05,100.0213559
2018/06,99.57984237
2018/07,100.1748389
2018/08,100.859341
2018/09,100.7377688
2018/10,99.77197927
2018/11,100.1607417
2018/12,99.61912039
2019/01,100.9857686
2019/02,101.105495
2019/03,99.33120849
2019/04,100.1564372
2019/05,100.3786648
2019/06,101.2782738
2019/07,101.1483097
2019/08,100.7678348
2019/09,101.5841615
2019/10,101.5115632
2019/11,101.6582083
2019/12,101.1284142
2020/01,101.5355398
2020/02,101.4448003
2020/03,95.65523881
2020/04,78.46083055
2020/05,77.15123062
2020/06,83.4890611
2020/07,87.23399746
2020/08,89.18325419
2020/09,92.81568708
2020/10,93.68380575
2020/11,94.99486773
2020/12,95.3211623
2021/01,95.72847489
2021/02,95.99125828
2021/03,98.12653567
2021/04,98.21260343
2021/05,98.46154566
2021/06,98.73872104
2021/07,99.1314487
2021/08,98.46628275
2021/09,99.16237351
2021/10,99.77959282
2021/11,100.1115304
2021/12,101.0202547
2022/01,101.3345968
2022/02,101.9954118
2022/03,102.922753
2022/04,102.8553901
2022/05,103.4077941
2022/06,103.2808601
2022/07,102.9373118
2022/08,103.1468224
2022/09,104.010115
2022/10,104.6420804
2022/11,104.1435678
2022/12,105.5481373
2023/01,106.0384748
2023/02,105.1576291
2023/03,105.0215634
2023/04,106.2137454
2023/05,107.076186
2023/06,107.8261338
2023/07,107.8921019
2023/08,108.5268456
2023/09,109.2610906
2023/10,109.553816
2023/11,109.9670259
2023/12,110.2564876
2024/01,110.5057939
2024/02,111.3364824
2024/03,111.4892785
2024/04,110.579459
2024/05,110.619074
2024/06,110.2711598
2024/07,111.1329687
2024/08,110.7863005
2024/09,110.0951884
2024/10,108.9275844
2024/11,109.7747385
2024/12,108.0329636
2025/01,109.2193803
2025/02,110.0946692
2025/03,110.0521276
2025/04,111.2527459
2025/05,110.8430791
2025/06,111.2302471
2025/07,111.5610111
2025/08,112.5225847
2025/09,112.5437113
2025/10,113.4433232
2025/11,112.7266067
2025/12,113.8921621
2026/01,112.1247813
